name,posX,posY,posZ,rotX,rotY,rotZ,scaleX,scaleY,scaleZ,Tag
StageWall,0.0000,-15.2000,0.0000,0.0000,0.0000,0.0000,100.0000,1.0000,100.0000,StageFloor
StageWall,0.0000,85.8000,0.0000,0.0000,0.0000,0.0000,100.0000,1.0000,100.0000,StageFloor
StageWall,0.0000,35.3000,50.5000,0.0000,0.0000,0.0000,100.0000,100.0000,1.0000,StageWall
StageWall,0.0000,35.3000,-50.5000,0.0000,0.0000,0.0000,100.0000,100.0000,1.0000,StageWall
StageWall,50.5000,35.3000,0.0000,0.0000,0.0000,0.0000,1.0000,100.0000,100.0000,StageWall
StageWall,-50.5000,35.3000,0.0000,0.0000,0.0000,0.0000,1.0000,100.0000,100.0000,StageWall
Object,11.5000,-8.0000,8.5000,0.0000,0.0000,0.0000,7.0000,1.5000,12.9996,Desk
Object,14.5000,-11.8750,14.5000,0.0000,0.0000,0.0000,1.0000,6.2500,1.0000,Untagged
Object,14.5000,-11.8750,2.5000,0.0000,0.0000,0.0000,1.0000,6.2500,1.0000,Untagged
Object,8.5000,-11.8750,14.5000,0.0000,0.0000,0.0000,1.0000,6.2500,1.0000,Untagged
Object,8.5000,-11.8750,2.5000,0.0000,0.0000,0.0000,1.0000,6.2500,1.0000,Untagged
Object,-10.0000,-11.7200,6.0000,0.0000,0.0000,0.0000,10.0000,4.0000,18.0000,Untagged
Object,-5.5170,-14.3678,-2.4900,0.0000,0.0000,0.0000,1.0000,1.2641,1.0000,Untagged
Object,-14.4980,-14.3678,14.4930,0.0000,0.0000,0.0000,1.0000,1.2641,1.0000,Untagged
Object,-14.4800,-14.3678,-2.4900,0.0000,0.0000,0.0000,1.0000,1.2641,1.0000,Untagged
Object,-5.5170,-14.3678,14.4800,0.0000,0.0000,0.0000,1.0000,1.2641,1.0000,Untagged
Object,-10.0050,-7.8600,14.7500,0.0000,0.0000,0.0000,10.0000,3.7353,0.5000,Untagged
Object,3.6100,-10.9100,8.1500,0.0000,0.0000,0.0000,4.0000,0.7000,4.0000,Chair
Object,1.9570,-13.1320,6.5070,0.0000,0.0000,0.0000,0.7000,3.7400,0.7000,InvisibleCollision
Object,1.9570,-9.8236,6.4760,0.0000,0.0000,0.0000,0.7000,1.4597,0.7000,InvisibleCollision
Object,1.9570,-9.8189,9.7720,0.0000,0.0000,0.0000,0.7000,1.4690,0.7000,InvisibleCollision
Object,1.9690,-7.7600,8.1230,0.0000,0.0000,0.0000,0.7000,2.6380,4.0000,InvisibleCollision
Object,1.9680,-13.1320,9.8030,0.0000,0.0000,0.0000,0.7000,3.7400,0.7000,InvisibleCollision
Object,5.2400,-13.1320,6.5050,0.0000,0.0000,0.0000,0.7000,3.7400,0.7000,InvisibleCollision
Object,5.2610,-13.1320,9.7950,0.0000,0.0000,0.0000,0.7000,3.7400,0.7000,InvisibleCollision
Object,12.4500,-10.8900,-1.6300,0.0000,0.0000,0.0000,5.0614,8.1607,5.4947,Untagged
Object,13.6602,9.9700,-0.9600,0.0000,0.0000,0.0000,2.6410,0.4129,20.9554,Untagged
Object,-13.9200,-7.0477,-8.4200,0.0000,0.0000,0.0000,2.1900,15.9038,9.0899,Untagged
Object,0.5700,2.4583,14.7500,0.0000,0.0000,0.0000,11.2478,9.1251,0.5000,Untagged
Object,-3.3200,-13.5062,-6.2400,0.0000,32.0785,0.0000,5.0614,2.9281,5.4947,Untagged
Object,6.3988,-5.7538,-14.7700,0.0000,0.0000,0.0000,10.1098,18.4976,0.5000,Untagged
